Date,Ticker,Close,Strategy,Short_Window,Long_Window,Raw_Signal,Position,Trade_Shares,Shares,Cash,Portfolio_Value,Daily_Return,Cumulative_Return
2022-06-01,MSFT,263.57537841796875,MovingAverage,5,20,1,1,1059,1059,226.83787155151367,279353.1636161804,0.0,1.7935316361618043
2022-06-02,MSFT,265.6653137207031,MovingAverage,5,20,1,1,0,1059,226.83787155151367,281566.4051017761,0.007922736427773636,1.815664051017761
2022-06-03,MSFT,261.2532958984375,MovingAverage,5,20,1,1,0,1059,226.83787155151367,276894.0782279968,-0.016594049535456512,1.768940782279968
2022-06-06,MSFT,260.0245056152344,MovingAverage,5,20,1,1,0,1059,226.83787155151367,275592.7893180847,-0.0046995909708138495,1.7559278931808473
2022-06-07,MSFT,263.6528015136719,MovingAverage,5,20,1,1,0,1059,226.83787155151367,279435.15467453003,0.013942183922709628,1.7943515467453004
2022-06-08,MSFT,261.630615234375,MovingAverage,5,20,1,1,0,1059,226.83787155151367,277293.65940475464,-0.007663657324253559,1.7729365940475463
2022-06-09,MSFT,256.193115234375,MovingAverage,5,20,1,1,0,1059,226.83787155151367,271535.34690475464,-0.02076611673112516,1.7153534690475465
2022-06-10,MSFT,244.7761993408203,MovingAverage,5,20,1,1,0,1059,226.83787155151367,259444.83297348022,-0.04452648271797688,1.5944483297348024
2022-06-13,MSFT,234.3945770263672,MovingAverage,5,20,0,1,0,1059,226.83787155151367,248450.69494247437,-0.04237562916556392,1.4845069494247438
2022-06-14,MSFT,236.55218505859375,MovingAverage,5,20,0,0,-1059,0,250735.6018486023,250735.6018486023,0.009196621110908909,1.507356018486023
2022-06-15,MSFT,243.5861663818359,MovingAverage,5,20,0,0,0,0,250735.6018486023,250735.6018486023,0.0,1.507356018486023
2022-06-16,MSFT,237.0166015625,MovingAverage,5,20,0,0,0,0,250735.6018486023,250735.6018486023,0.0,1.507356018486023
2022-06-17,MSFT,239.60958862304688,MovingAverage,5,20,0,0,0,0,250735.6018486023,250735.6018486023,0.0,1.507356018486023
