Date,Ticker,Close,RSI,Strategy,Buy_Threshold,Sell_Threshold,Raw_Signal,Position,Trade_Shares,Shares,Cash,Portfolio_Value,Daily_Return,Cumulative_Return
2024-08-09,AAPL,214.38291931152344,40.35483838712475,RSI,30.0,70.0,1,1,0,752,173.37074851992656,161389.32607078555,0.01372089021443701,0.6138932607078555
2024-08-12,AAPL,215.91146850585935,41.078870805849704,RSI,30.0,70.0,1,1,0,752,173.37074851992656,162538.79506492615,0.007122335919764744,0.6253879506492614
2024-08-13,AAPL,219.6236572265625,53.95139551346961,RSI,30.0,70.0,1,1,0,752,173.37074851992656,165330.36098289493,0.017174766903210292,0.6533036098289493
2024-08-14,AAPL,220.0702667236328,56.032557837302704,RSI,30.0,70.0,1,1,0,752,173.37074851992656,165666.2113246918,0.0020313893939396532,0.6566621132469179
2024-08-15,AAPL,223.04795837402344,58.83696149166517,RSI,30.0,70.0,1,1,0,752,173.37074851992656,167905.43544578555,0.013516480537513198,0.6790543544578556
2024-08-16,AAPL,224.3680877685547,59.89862834571007,RSI,30.0,70.0,1,1,0,752,173.37074851992656,168898.17275047305,0.005912478664265919,0.6889817275047305
2024-08-19,AAPL,224.20925903320312,59.1046576437067,RSI,30.0,70.0,1,1,0,752,173.37074851992656,168778.73354148868,-0.0007071669695375427,0.6877873354148867
2024-08-20,AAPL,224.82464599609375,56.22097811457022,RSI,30.0,70.0,1,1,0,752,173.37074851992656,169241.50453758243,0.002741879775866485,0.6924150453758242
2024-08-21,AAPL,224.7154998779297,62.17219471973266,RSI,30.0,70.0,1,1,0,752,173.37074851992656,169159.42665672305,-0.0004849748948028143,0.6915942665672306
2024-08-22,AAPL,222.85939025878903,57.150006562669894,RSI,30.0,70.0,1,1,0,752,173.37074851992656,167763.63222312927,-0.008251354720102522,0.6776363222312927
2024-08-23,AAPL,225.15219116210935,84.03483385884918,RSI,30.0,70.0,0,1,0,752,173.37074851992656,169487.81850242615,0.010277473469361142,0.6948781850242616
2024-08-26,AAPL,225.4896697998047,91.25443155752706,RSI,30.0,70.0,0,0,-752,0,169741.60243797305,169741.60243797305,0.001497357968196722,0.6974160243797305
2024-08-27,AAPL,226.33334350585935,90.58616991204532,RSI,30.0,70.0,0,0,0,0,169741.60243797305,169741.60243797305,0.0,0.6974160243797305
2024-08-28,AAPL,224.80479431152344,82.29624660814696,RSI,30.0,70.0,0,0,0,0,169741.60243797305,169741.60243797305,0.0,0.6974160243797305
2024-08-29,AAPL,228.0802459716797,82.60865458804179,RSI,30.0,70.0,0,0,0,0,169741.60243797305,169741.60243797305,0.0,0.6974160243797305
2024-08-30,AAPL,227.2961273193359,78.09894105249988,RSI,30.0,70.0,0,0,0,0,169741.60243797305,169741.60243797305,0.0,0.6974160243797305
2024-09-03,AAPL,221.11248779296875,53.27508982228882,RSI,30.0,70.0,0,0,0,0,169741.60243797305,169741.60243797305,0.0,0.6974160243797305
2024-09-04,AAPL,219.206787109375,48.21511817520601,RSI,30.0,70.0,0,0,0,0,169741.60243797305,169741.60243797305,0.0,0.6974160243797305
2024-09-05,AAPL,220.7253875732422,44.89087061831032,RSI,30.0,70.0,0,0,0,0,169741.60243797305,169741.60243797305,0.0,0.6974160243797305
2024-09-06,AAPL,219.1769866943359,38.69429630299191,RSI,30.0,70.0,0,0,0,0,169741.60243797305,169741.60243797305,0.0,0.6974160243797305
2024-09-09,AAPL,219.26632690429688,39.20210078039274,RSI,30.0,70.0,0,0,0,0,169741.60243797305,169741.60243797305,0.0,0.6974160243797305
2024-09-10,AAPL,218.47227478027344,36.23064542908989,RSI,30.0,70.0,0,0,0,0,169741.60243797305,169741.60243797305,0.0,0.6974160243797305
2024-09-11,AAPL,221.00331115722656,42.71804382547396,RSI,30.0,70.0,0,0,0,0,169741.60243797305,169741.60243797305,0.0,0.6974160243797305
2024-09-12,AAPL,221.11248779296875,46.321074425578665,RSI,30.0,70.0,0,0,0,0,169741.60243797305,169741.60243797305,0.0,0.6974160243797305
2024-09-13,AAPL,220.8444976806641,40.082304064123385,RSI,30.0,70.0,0,0,0,0,169741.60243797305,169741.60243797305,0.0,0.6974160243797305
2024-09-16,AAPL,214.71047973632812,30.411265674730927,RSI,30.0,70.0,0,0,0,0,169741.60243797305,169741.60243797305,0.0,0.6974160243797305
2024-09-17,AAPL,215.17697143554688,29.444023971813294,RSI,30.0,70.0,1,0,0,0,169741.60243797305,169741.60243797305,0.0,0.6974160243797305
2024-09-18,AAPL,219.0479431152344,40.2356704547514,RSI,30.0,70.0,1,1,774,774,198.4944667816162,169741.60243797305,0.0,0.6974160243797305
2024-09-19,AAPL,227.1670837402344,48.669739229322374,RSI,30.0,70.0,1,1,0,774,198.4944667816162,176025.81728172305,0.03702224294746115,0.7602581728172306
2024-09-20,AAPL,226.50209045410156,48.839247953660966,RSI,30.0,70.0,1,1,0,774,198.4944667816162,175511.11247825623,-0.0029240301872484054,0.7551111247825621
